improving,4,3,2,3
mine,3,3,2,3
sideline-to-sideline,3,3,2,3
cameron,2,3,2,3
relationship,1,3,2,3
terrell,6,2,2,3
competitors,3,2,2,3
reaction,3,2,2,3
eliminate,2,2,2,3
discuss,1,2,2,3
nine,5,1,2,3
changing,4,1,2,3
conditions,4,1,2,3
feeling,3,1,2,3
distance,3,1,2,3
fumbled,3,1,2,3
white,2,1,2,3
twice,2,1,2,3
third-year,1,1,2,3
ziggy,8,5,1,3
personally,5,5,1,3
minute,4,5,1,3
blocked,2,5,1,3
scoreboard,5,4,1,3
fighting,4,3,1,3
practicing,3,3,1,3
evolved,2,3,1,3
gap,2,3,1,3
familiarity,3,2,1,3
brings,2,2,1,3
whose,2,2,1,3
fronts,1,2,1,3
chose,4,1,1,3
pivotal,2,1,1,3
places,2,1,1,3
multi-talented,2,1,1,3
pondered,1,1,1,3
biggest,1,1,1,3
stood,1,1,1,3
surprising,1,1,1,3
personalities,1,1,1,3
passes,8,4,14,2
quarterbacks,4,4,14,2
battle,9,12,13,2
component,1,2,11,2
roethlisberger,2,6,10,2
impressed,5,5,9,2
intend,3,5,9,2
depth,3,3,9,2
excuses,5,5,8,2
remain,2,7,7,2
experienced,5,5,7,2
coordinator,3,5,7,2
let's,5,4,7,2
